Date,LMT,MKT-RF,SMB,HML,RF
2010-04,0.02006768,-1.266799503,4.87,2.89,-1.197163145
2010-05,-0.05104842,-5.019408592,0.09,-2.44,6.377696556
2010-06,-0.067817799,-1.13535274,-1.81,-4.7,-0.16552902
2010-07,0.008724975,5.181172308,0.24,-0.3,-2.137014298
2010-08,-0.066781684,-0.97318763,-2.95,-1.96,-0.971222989
2010-09,0.025316609,0.548751692,3.96,-3.17,-2.699998605
2010-10,0.000140195,-6.301333027,1.21,-2.49,4.941174781
2010-11,-0.035069611,1.545094201,3.77,-0.88,-1.738861293
2010-12,0.027483618,0.501149475,0.67,3.78,-3.204355298
2011-01,0.138606977,-0.88707807,-2.44,0.77,-0.736322233
2011-02,0.003857941,0.645838947,1.47,1.24,-1.867640871
2011-03,0.015664661,-1.586257617,2.56,-1.88,-3.000000618
2011-04,-0.014303263,-4.392369088,-0.32,-2.48,2.495729656
2011-05,-0.007459704,0.185767955,-0.65,-2,-2.616206894
2011-06,0.03940954,0.054207357,-0.14,-0.38,-0.938271619
2011-07,-0.06471525,9.1647777,-1.29,-0.91,-9.485716082
2011-08,-0.010314592,13.59369906,-3.07,-2.4,-3.393939448
2011-09,-0.020892417,1.234131057,-3.33,-1.75,-1.798874835
2011-10,0.044879297,-11.09086168,3.3,0.12,-0.957746482
2011-11,0.043016291,14.70506898,-0.17,-0.46,-16.31250133
2011-12,0.035188814,0.706295444,-0.6,1.61,-1.832653063
2012-01,0.017552317,3.51630155,2.06,-0.94,-1.998366016
2012-02,0.086127532,-0.669333426,-1.86,0.43,-0.41475259
2012-03,0.016400654,3.01322926,-0.66,1.12,-0.902603528
2012-04,0.007567458,13.57133778,-0.41,-0.77,-10.27655696
2012-05,-0.074423567,1.865326299,0.09,-1.06,-1.375551528
2012-06,0.051690915,0.901400019,0.64,0.59,-3.711537616
2012-07,0.025148772,-1.297438435,-2.72,-0.12,0.043566304
2012-08,0.032177445,-1.981984106,0.48,1.3,0.713592148
2012-09,0.024577312,2.531676399,0.54,1.58,-2.911048158
2012-10,0.003105647,-10.09347348,-1.17,3.56,-0.945449115
2012-11,0.008426194,5.431439239,0.61,-0.83,-6.951083045
2012-12,-0.010825193,0.317332277,1.52,3.53,-1.133333288
2013-01,-0.058727743,26.45952103,0.31,0.95,-17.42466233
2013-02,0.026530625,0.038393127,-0.33,0.1,-1.944537134
