Date,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close,Log Total Asset,Currency in Circulation/Total Asset,Log Stock Price,Unemployment Rate
2008-01-31,817.37,894807.8,3.94,1378.55,13.70436423,0.000913459,7.228787501,4.9
2008-02-29,814.43,881700.25,2.98,1330.63,13.68960742,0.000923704,7.193407793,5.1
2008-03-31,816.64,890096,2.61,1322.7,13.6990846,0.000917474,7.187430381,5
2008-04-30,813.94,886510.6,2.28,1385.59,13.69504836,0.000918139,7.233881321,5.4
2008-05-31,817.69,892986,1.98,1400.38,13.70232618,0.000915681,7.244498907,5.6
2008-06-30,822.83,895391.5,2,1280,13.70501633,0.000918961,7.154615357,5.8
2008-07-31,829.95,905993.4,2.01,1267.38,13.7167873,0.000916066,7.144707056,6.1
2008-08-31,830.51,906233.75,2,1282.83,13.71705255,0.000916441,7.156823854,6.1
2008-09-30,833.94,1009474,1.81,1166.36,13.82493996,0.000826113,7.061643067,6.5
2008-10-31,849.12,1727614.6,0.97,968.75,14.36225217,0.000491499,6.876006581,6.8
2008-11-30,864.07,2145077.75,0.39,896.24,14.57868636,0.000402815,6.798208234,7.3
2008-12-31,877.88,2222737.4,0.16,903.25,14.61425006,0.000394954,6.80599937,7.8
2009-01-31,886.18,2033836.75,0.15,825.88,14.52543459,0.000435718,6.716449485,8.3
2009-02-28,894.16,1881628.5,0.22,735.09,14.44764818,0.000475205,6.599992941,8.7
2009-03-31,900.75,1984832.25,0.18,797.87,14.50104496,0.000453817,6.681945677,9
2009-04-30,903.41,2123506.2,0.15,872.81,14.56857915,0.000425433,6.771717892,9.4
2009-05-31,905.51,2134464,0.18,919.14,14.57372612,0.000424233,6.82343845,9.5
2009-06-30,907.58,2057022.5,0.21,919.32,14.53677011,0.000441211,6.823634266,9.5
2009-07-31,909.56,2022073.2,0.16,987.48,14.51963388,0.000449816,6.895156243,9.6
2009-08-31,910.77,2034911.25,0.16,1020.62,14.52596276,0.000447572,6.928165565,9.8
2009-09-30,912.97,2122220,0.15,1057.08,14.56797327,0.000430196,6.963265669,10
2009-10-31,915.32,2173382.25,0.12,1036.19,14.59179515,0.00042115,6.943305804,9.9
2009-11-30,918.24,2178795.5,0.12,1095.63,14.59428276,0.000421444,6.999084819,9.9
2009-12-31,924.31,2219218,0.12,1115.1,14.61266544,0.000416503,7.016699366,9.8
2010-01-31,921.23,2256424,0.11,1073.87,14.62929182,0.00040827,6.979024225,9.8
2010-02-28,927.21,2267424.75,0.13,1104.49,14.63415527,0.000408926,7.007138969,9.9
2010-03-31,932.54,2298183.4,0.16,1169.43,14.64762954,0.000405773,7.06427173,9.9
2010-04-30,935.05,2328737,0.2,1186.69,14.66083662,0.000401527,7.078923198,9.6
2010-05-31,937.47,2336799.5,0.2,1089.41,14.66429282,0.000401177,6.993391544,9.4
2010-06-30,941.36,2337481.8,0.18,1030.71,14.66458475,0.000402724,6.938003164,9.4
2010-07-31,944.76,2332588.5,0.18,1101.6,14.66248915,0.000405026,7.004518947,9.5
2010-08-31,946.09,2317172.25,0.19,1049.33,14.65585814,0.000408295,6.955907144,9.5
2010-09-30,951.33,2301947.8,0.19,1141.2,14.64926619,0.000413272,7.039835619,9.4
2010-10-31,960.37,2304649,0.19,1183.26,14.65043895,0.00041671,7.07602862,9.8
2010-11-30,970.89,2318469.75,0.19,1180.55,14.65641794,0.000418763,7.073735711,9.3
2010-12-31,979.39,2392691.8,0.18,1257.64,14.68792957,0.000409326,7.136992228,9.1
2011-01-31,978.91,2443221.5,0.17,1286.12,14.70882801,0.000400664,7.159385213,9
2011-02-28,987.09,2502997.25,0.16,1327.22,14.73299947,0.000394363,7.190841808,9
2011-03-31,1000.69,2585821,0.14,1325.83,14.76555362,0.000386991,7.189793957,9.1
2011-04-30,1009.37,2672712.75,0.1,1363.61,14.79860453,0.000377657,7.217890874,9
2011-05-31,1016.66,2749065,0.09,1345.2,14.82677141,0.00036982,7.20429798,9.1
2011-06-30,1023.53,2829826.4,0.09,1320.64,14.85572592,0.000361694,7.185871747,9
2011-07-31,1029.57,2870763.5,0.07,1292.28,14.87008858,0.00035864,7.164163379,9
2011-08-31,1033.04,2862173,0.1,1218.89,14.86709168,0.000360929,7.105695888,9
2011-09-30,1038.74,2857717,0.08,1131.42,14.86553361,0.000363486,7.03122876,8.8
2011-10-31,1042.13,2854649.5,0.07,1253.3,14.86445963,0.000365064,7.133535352,8.6
2011-11-30,1055.23,2825922.2,0.08,1246.96,14.85434531,0.000373411,7.128463868,8.5
2011-12-31,1066.41,2891339.75,0.07,1257.6,14.87723053,0.000368829,7.136960422,8.3
2012-01-31,1069.69,2913951.5,0.08,1312.41,14.88502062,0.000367093,7.179620421,8.3
2012-02-29,1080.2,2929930,0.1,1365.68,14.89048909,0.000368678,7.219407752,8.2
2012-03-31,1095.17,2887272.5,0.13,1408.47,14.87582284,0.00037931,7.250259288,8.2
2012-04-30,1099.98,2868677.25,0.14,1397.91,14.86936159,0.000383445,7.242733543,8.2
2012-05-31,1103.67,2856312.6,0.16,1310.33,14.86504205,0.000386397,7.178034293,8.2
2012-06-30,1108.55,2863870.5,0.16,1362.16,14.86768459,0.000387081,7.216826954,8.2
2012-07-31,1113.76,2858675.25,0.16,1379.32,14.86586888,0.000389607,7.229345903,8.1
2012-08-31,1115.87,2835816.6,0.13,1406.58,14.8578405,0.000393492,7.248916505,7.8
2012-09-30,1126.39,2817912,0.14,1440.67,14.85150674,0.000399725,7.272863562,7.8
2012-10-31,1134.62,2826231.2,0.16,1412.16,14.85445465,0.00040146,7.252875726,7.7
2012-11-30,1149.02,2857639.5,0.16,1416.18,14.86550649,0.000402087,7.255718385,7.9
2012-12-31,1156.7,2901149.5,0.16,1426.19,14.8806176,0.000398704,7.262761832,8
2013-01-31,1160.08,2966026,0.14,1498.11,14.90273357,0.000391123,7.311959593,7.7
2013-02-28,1164.58,3068737.5,0.15,1514.68,14.9367768,0.000379498,7.322959475,7.5
2013-03-31,1174.35,3170836.25,0.14,1569.19,14.96950591,0.00037036,7.358314842,7.6
2013-04-30,1178.42,3264238,0.14,1597.57,14.99853691,0.000361009,7.376239004,7.5
2013-05-31,1185.03,3355983.8,0.11,1630.74,15.02625552,0.00035311,7.396789179,7.5
2013-06-30,1189.69,3440056.75,0.09,1606.28,15.05099853,0.000345834,7.381676226,7.3
2013-07-31,1196.58,3536213.8,0.09,1685.73,15.07856716,0.000338379,7.429953983,7.2
2013-08-31,1198.8,3630451.5,0.08,1632.97,15.10486758,0.000330207,7.398155722,7.2
2013-09-30,1206.33,3693106.75,0.08,1681.55,15.1219786,0.000326644,7.427471266,7.2
2013-10-31,1213.42,3800415.6,0.09,1756.54,15.15062099,0.000319286,7.471101244,6.9
2013-11-30,1220.84,3897885.75,0.08,1805.81,15.17594485,0.000313206,7.498764524,6.7
2013-12-31,1230.29,3991804.5,0.09,1848.36,15.19975394,0.000308204,7.522054038,6.6
2014-01-31,1231.63,4064681,0.07,1782.59,15.21784582,0.000303008,7.485822642,6.7
2014-02-28,1237.53,4134488.75,0.07,1859.45,15.23487424,0.000299319,7.528036024,6.7
2014-03-31,1261.59,4200543.75,0.08,1872.34,15.25072454,0.00030034,7.534944264,6.2
2014-04-30,1270.13,4271396.8,0.09,1883.95,15.26745145,0.000297357,7.541125916,6.3
2014-05-31,1275.95,4322501.5,0.09,1923.57,15.27934484,0.000295188,7.561938114,6.1
2014-06-30,1279.38,4352084.25,0.1,1960.23,15.28616543,0.000293969,7.580817092,6.2
2014-07-31,1284.83,4395203.2,0.09,1930.67,15.29602432,0.000292326,7.565622372,6.1
2014-08-31,1287.5,4417173.5,0.09,2003.37,15.30101057,0.000291476,7.602586042,5.9
2014-09-30,1290.77,4436408.25,0.09,1972.29,15.30535565,0.000290949,7.586950583,5.7
2014-10-31,1294.04,4469678.6,0.09,2018.05,15.31282706,0.000289515,7.609886978,5.8
2014-11-30,1309.49,4488542.5,0.09,2067.56,15.3170386,0.000291741,7.634124447,5.6
2014-12-31,1326.7,4496884.8,0.12,2058.9,15.31889545,0.000295026,7.629927139,5.7
2015-01-31,1333.45,4507150.25,0.11,1994.99,15.32117564,0.000295852,7.598394317,5.5
2015-02-28,1341.26,4496402.25,0.11,2104.5,15.31878813,0.000298296,7.651833188,5.4
2015-03-31,1354.76,4488338.25,0.11,2067.89,15.31699309,0.00030184,7.634284043,5.4
2015-04-30,1359.93,4482355.6,0.12,2085.51,15.31565927,0.000303396,7.642768709,5.6
2015-05-31,1364.57,4479564,0.12,2107.39,15.31503628,0.000304621,7.653205494,5.3
2015-06-30,1366.16,4479059.25,0.13,2063.11,15.31492359,0.00030501,7.631969832,5.2
2015-07-31,1369.78,4488001.4,0.13,2103.84,15.31691804,0.000305209,7.651519525,5.1
2015-08-31,1375.05,4484473,0.14,1972.18,15.31613154,0.000306625,7.586894809,5
2015-09-30,1383.87,4484700.6,0.14,1920.03,15.3161823,0.000308576,7.56009609,5
2015-10-31,1391.43,4495400,0.12,2079.36,15.31856521,0.000309523,7.639815433,5.1
2015-11-30,1402.99,4486380.75,0.12,2080.41,15.31655687,0.000312722,7.640320269,5
2015-12-31,1415.04,4486241.6,0.24,2043.94,15.31652585,0.000315418,7.622634597,4.8
2016-01-31,1417.33,4489872.5,0.34,1940.24,15.31733486,0.000315673,7.570566956,4.9
2016-02-29,1420.98,4485799.5,0.38,1932.23,15.3164273,0.000316773,7.566430055,5
2016-03-31,1436.88,4484319.6,0.36,2059.74,15.31609734,0.000320423,7.63033504,5.1
2016-04-30,1444.64,4487148.5,0.37,2065.3,15.31672798,0.000321951,7.633030773,4.8
2016-05-31,1451,4472633.25,0.37,2096.95,15.31348789,0.000324417,7.648239187,4.9
2016-06-30,1457.51,4469248.6,0.38,2098.86,15.31273085,0.00032612,7.649149619,4.8
2016-07-31,1463.68,4472069.5,0.39,2173.6,15.31336183,0.000327294,7.684140058,4.9
2016-08-31,1464.34,4466789,0.4,2170.95,15.31218036,0.000327828,7.682920139,5
2016-09-30,1470.25,4466515.75,0.4,2168.27,15.31211919,0.000329172,7.681684894,4.9
2016-10-31,1475.81,4459703.25,0.4,2126.15,15.31059279,0.000330921,7.662068111,4.7
2016-11-30,1488.54,4454779.2,0.41,2198.81,15.30948806,0.000334145,7.695671584,4.7
2016-12-31,1499.35,4460032.75,0.54,2238.83,15.31066667,0.000336175,7.713708687,4.7
2017-01-31,1504.58,4454801.5,0.65,2278.87,15.30949306,0.000337743,7.731434985,4.6
2017-02-28,1504.65,4458373.75,0.66,2363.64,15.31029463,0.000337489,7.767958083,4.4
2017-03-31,1527.12,4467057.8,0.79,2362.72,15.31224054,0.000341863,7.767568777,4.5
2017-04-30,1539.47,4477134.5,0.9,2384.2,15.31449378,0.000343852,7.776618917,4.4
2017-05-31,1548.16,4468515.8,0.91,2411.8,15.31256688,0.00034646,7.788128636,4.3
2017-06-30,1555.21,4469079,1.04,2423.41,15.31269291,0.000347993,7.792930918,4.3
2017-07-31,1562.59,4469040.25,1.15,2470.3,15.31268423,0.000349648,7.81209488,4.4
2017-08-31,1565.29,4462999.4,1.16,2471.65,15.31133161,0.000350726,7.812641223,4.2
2017-09-30,1578.3,4459721.25,1.15,2519.36,15.31059682,0.000353901,7.83176018,4.1
2017-10-31,1583.26,4462669.25,1.15,2575.26,15.31125763,0.000354779,7.853705779,4.2
2017-11-30,1592.13,4450387,1.16,2647.58,15.30850162,0.000357751,7.881401294,4.1
2017-12-31,1604.54,4446506,1.3,2673.61,15.30762918,0.000360854,7.891184898,4
2018-01-31,1611.34,4437893.4,1.41,2823.81,15.30569036,0.000363087,7.945842316,4.1
2018-02-28,1616.28,4415167.25,1.42,2713.83,15.30055627,0.000366074,7.9061162,4
2018-03-31,1633.04,4399193.75,1.51,2640.87,15.29693184,0.000371213,7.878863687,4
2018-04-30,1639.95,4382144.25,1.69,2648.05,15.29304872,0.000374235,7.881578799,3.8
2018-05-31,1650.88,4343353,1.7,2705.27,15.28415719,0.000380093,7.902957001,4
2018-06-30,1661.27,4316371,1.82,2718.37,15.27792556,0.000384877,7.907787715,3.8
2018-07-31,1669.06,4287565.25,1.91,2816.29,15.27122959,0.000389279,7.943175695,3.8
2018-08-31,1671.61,4238067.8,1.91,2901.52,15.25961802,0.000394427,7.972990017,3.7
2018-09-30,1685.51,4205069,1.95,2913.98,15.25180126,0.000400828,7.977275123,3.8
2018-10-31,1690.13,4167971.4,2.19,2711.74,15.24294,0.000405504,7.905345774,3.8
2018-11-30,1701.6,4122799,2.2,2760.17,15.23204286,0.000412729,7.923047551,3.9
2018-12-31,1706.89,4083567,2.27,2506.85,15.22248143,0.00041799,7.826782264,4
2019-01-31,1709.73,4050343,2.4,2704.1,15.21431213,0.00042212,7.902524419,3.8
2019-02-28,1707.78,4002697.75,2.4,2784.49,15.20247913,0.000426657,7.931820012,3.8
2019-03-31,1719.26,3964764.5,2.41,2834.4,15.19295702,0.000433635,7.949585554,3.7
2019-04-30,1726.41,3933098.25,2.42,2945.83,15.18493803,0.000438944,7.98814589,3.7
2019-05-31,1732.23,3871707,2.39,2752.06,15.16920605,0.000447407,7.920105001,3.6
2019-06-30,1737.76,3842108.25,2.38,2941.76,15.1615318,0.000452293,7.986763321,3.6
2019-07-31,1746.9,3803776.8,2.4,2980.38,15.15150503,0.000459254,7.999806088,3.7
2019-08-31,1749.12,3773093.25,2.13,2926.46,15.14340571,0.000463577,7.98154878,3.5
2019-09-30,1762.66,3808397.75,2.04,2976.46,15.15271912,0.000462835,7.998489954,3.6
2019-10-31,1769.48,3970156,1.83,3037.56,15.19431595,0.000445695,8.018809841,3.6
2019-11-30,1785.6,4042612.25,1.55,3140.98,15.21240164,0.000441695,8.052290132,3.6
2019-12-31,1794.26,4115957.5,1.55,3230.78,15.23038205,0.000435928,8.080478873,3.5
2020-01-31,1798.98,4159312.4,1.55,3225.52,15.24086033,0.000432519,8.078849457,3.5
2020-02-29,1795.98,4169900.75,1.58,2954.22,15.24340279,0.000430701,7.990989936,4.4
2020-03-31,1826.08,4618977,0.65,2584.59,15.34568381,0.000395343,7.857322167,14.8
2020-04-30,1887.38,6298340,0.05,2912.43,15.65579666,0.000299663,7.976743063,13.3
2020-05-31,1929.73,6947555.25,0.05,3044.31,15.75390039,0.000277757,8.021029553,11.1
2020-06-30,1955.37,7127786.25,0.08,3100.29,15.77951126,0.000274331,8.039250934,10.2
2020-07-31,1978.27,6960429.4,0.09,3271.12,15.75575173,0.000284217,8.092887713,8.4
2020-08-31,2004.52,6975892.25,0.1,3500.31,15.7579708,0.00028735,8.160606815,7.8
2020-09-30,2026.25,7048374.2,0.09,3363,15.76830754,0.000287478,8.120588712,6.9
2020-10-31,2040.2,7137411.5,0.09,3269.96,15.78086073,0.000285846,8.092533031,6.7
2020-11-30,2055.63,7198114,0.09,3621.63,15.78932961,0.000285579,8.19467948,6.7
2020-12-31,2070.53,7319010.8,0.09,3756.07,15.80598574,0.000282898,8.231128477,6.3
2021-01-31,2093.53,7372161.25,0.09,3714.24,15.81322147,0.000283978,8.21992936,6.2
2021-02-28,2100.22,7500084,0.08,3811.15,15.83042478,0.000280026,8.24568626,6
2021-03-31,2115.28,7647908.2,0.07,3972.89,15.84994273,0.000276583,8.287249069,6.1
2021-04-30,2154.82,7775974,0.07,4181.17,15.86654928,0.000277113,8.338346391,5.8
2021-05-31,2167.93,7866893.25,0.06,4204.11,15.87817378,0.000275576,8.343817897,5.9
2021-06-30,2178.84,8026555.2,0.08,4297.5,15.898266,0.000271454,8.365788737,5.4
2021-07-31,2186.13,8190356.75,0.1,4395.26,15.91846801,0.000266915,8.388281967,5.2
2021-08-31,2187.63,8291893.25,0.09,4522.68,15.93078888,0.000263828,8.416860017,4.8
2021-09-30,2194.9,8418612.4,0.08,4307.54,15.94595557,0.00026072,8.368122254,4.6
2021-10-31,2202.51,8516524.5,0.08,4605.38,15.95751889,0.000258616,8.434980464,4.2
