DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
2000-01-31,594.67875,0.0,5.448387096774195,1394.4599609375
2000-02-29,566.14375,0.0,5.734827586206896,1366.4200439453125
2000-03-31,563.705,0.0,5.853548387096773,1498.5799560546875
2000-04-30,564.7335,0.0,6.019666666666668,0.0
2000-05-31,565.8356,0.0,6.2680645161290345,1420.5999755859375
2000-06-30,568.3330000000001,0.0,6.528333333333333,1454.5999755859375
2000-07-31,571.216,0.0,6.5445161290322575,1430.8299560546875
2000-08-31,569.3134,0.0,6.496774193548385,1517.6800537109375
2000-09-30,570.677,0.0,6.516999999999998,0.0
2000-10-31,571.4805,0.0,6.509354838709677,1429.4000244140625
2000-11-30,575.0024000000001,0.0,6.514333333333337,1314.949951171875
2000-12-31,583.1179999999999,0.0,6.402258064516129,0.0
2001-01-31,585.106,0.0,5.975806451612904,1366.010009765625
2001-02-28,582.52425,0.0,5.494285714285714,1239.93994140625
2001-03-31,585.0815,0.0,5.310967741935484,0.0
2001-04-30,587.9277500000001,0.0,4.801999999999999,1249.4599609375
2001-05-31,590.8734000000001,0.0,4.21225806451613,1255.8199462890625
2001-06-30,594.3700000000001,0.0,3.969666666666667,0.0
2001-07-31,600.38675,0.0,3.7690322580645157,1211.22998046875
2001-08-31,606.1325999999999,0.0,3.652580645161291,1133.5799560546875
2001-09-30,613.55825,0.0,3.0690000000000004,0.0
2001-10-31,615.0098,0.0,2.485161290322581,1059.780029296875
2001-11-30,621.8705,0.0,2.087,1139.449951171875
2001-12-31,630.27575,0.0,1.817741935483871,1148.0799560546875
2002-01-31,635.429,0.0,1.729677419354839,1130.199951171875
2002-02-28,635.884,0.0,1.7396428571428573,1106.72998046875
2002-03-31,639.6975,0.0,1.7300000000000002,0.0
2002-04-30,643.5795,0.0,1.753,1076.9200439453125
2002-05-31,648.2932,0.0,1.7512903225806449,1067.1400146484375
2002-06-30,654.7737500000001,0.0,1.7503333333333335,0.0
2002-07-31,660.9598,0.0,1.7290322580645159,911.6199951171875
2002-08-31,660.558,0.0,1.7432258064516128,0.0
2002-09-30,662.18875,0.0,1.7506666666666668,815.280029296875
2002-10-31,662.2379999999999,0.0,1.7548387096774192,885.760009765625
2002-11-30,667.44375,0.0,1.3359999999999999,0.0
2002-12-31,676.472,725800.5,1.238387096774194,879.8200073242188
2003-01-31,679.4114,724718.4,1.2351612903225804,855.7000122070312
2003-02-28,679.8322499999999,721326.0,1.2621428571428575,841.1500244140625
