DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
1/31/2000,594.68,0.00,5.45,1394.46
2/29/2000,566.14,0.00,5.73,1366.42
3/31/2000,563.71,0.00,5.85,1498.58
4/30/2000,564.73,0.00,6.02,1452.43
5/31/2000,565.84,0.00,6.27,1420.60
6/30/2000,568.33,0.00,6.53,1454.60
7/31/2000,571.22,0.00,6.54,1430.83
8/31/2000,569.31,0.00,6.50,1517.68
9/30/2000,570.68,0.00,6.52,1436.51
10/31/2000,571.48,0.00,6.51,1429.40
11/30/2000,575.00,0.00,6.51,1314.95
12/31/2000,583.12,0.00,6.40,1320.28
1/31/2001,585.11,0.00,5.98,1366.01
2/28/2001,582.52,0.00,5.49,1239.94
3/31/2001,585.08,0.00,5.31,1160.33
4/30/2001,587.93,0.00,4.80,1249.46
5/31/2001,590.87,0.00,4.21,1255.82
6/30/2001,594.37,0.00,3.97,1224.38
7/31/2001,600.39,0.00,3.77,1211.23
8/31/2001,606.13,0.00,3.65,1133.58
9/30/2001,613.56,0.00,3.07,1040.94
10/31/2001,615.01,0.00,2.49,1059.78
11/30/2001,621.87,0.00,2.09,1139.45
12/31/2001,630.28,0.00,1.82,1148.08
1/31/2002,635.43,0.00,1.73,1130.20
2/28/2002,635.88,0.00,1.74,1106.73
3/31/2002,639.70,0.00,1.73,1147.39
4/30/2002,643.58,0.00,1.75,1076.92
5/31/2002,648.29,0.00,1.75,1067.14
6/30/2002,654.77,0.00,1.75,989.82
7/31/2002,660.96,0.00,1.73,911.62
8/31/2002,660.56,0.00,1.74,916.07
9/30/2002,662.19,0.00,1.75,815.28
10/31/2002,662.24,0.00,1.75,885.76
11/30/2002,667.44,0.00,1.34,936.31
12/31/2002,676.47,725800.50,1.24,879.82
1/31/2003,679.41,724718.40,1.24,855.70
2/28/2003,679.83,721326.00,1.26,841.15
3/31/2003,683.41,723651.25,1.25,848.18
4/30/2003,687.06,736926.40,1.26,916.92
5/31/2003,690.52,738358.00,1.26,963.59
6/30/2003,691.95,738711.75,1.22,974.50
